File,Run,Module,latency:stats:count,latency:stats:mean
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[0],172,31.7374
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[1],177,31.6958
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[2],174,31.7134
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[3],178,31.669
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[4],169,31.7426
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[5],173,31.7349
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[6],175,31.6644
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[7],174,31.7232
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[8],176,31.7044
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[9],171,31.703
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[10],172,31.6925
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[11],182,31.6938
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[12],174,31.707
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[13],176,31.7062
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[14],171,31.7074
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[15],173,31.6194
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[16],172,31.7031
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[17],171,31.7222
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[18],174,31.665
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[19],182,31.6753
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[20],175,31.7013
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[21],175,31.7096
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[22],173,31.6583
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[23],175,31.7568
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[24],178,31.6904
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[25],170,31.7423
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[26],177,31.6943
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[27],178,31.6925
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[28],180,31.5742
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[29],167,31.7051
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[30],174,31.6048
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[31],174,31.7367
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[32],177,31.6046
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[33],174,31.6598
no_crypt-Owner-500-0.sca,Owner-500-0-20110905-21:06:09-5015,UCACnet.owner[34],171,31.6888
