File,Run,Module,latency:stats:count,latency:stats:mean
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[0],191,23.594
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[1],197,23.5619
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[2],199,23.5371
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[3],199,23.5061
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[4],207,23.5032
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[5],202,23.4582
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[6],203,23.5516
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[7],196,23.5051
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[8],196,23.5741
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[9],212,23.5399
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[10],196,23.5331
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[11],207,23.5075
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[12],199,23.5263
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[13],206,23.4629
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[14],199,23.506
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[15],204,23.4599
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[16],202,23.5275
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[17],208,23.5583
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[18],195,23.5457
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[19],211,23.5283
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[20],199,23.5424
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[21],207,23.508
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[22],207,23.4822
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[23],198,23.5256
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[24],202,23.5401
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[25],200,23.5589
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[26],197,23.4781
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[27],204,23.5124
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[28],201,23.4753
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[29],208,23.4972
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[30],206,23.5083
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[31],205,23.5763
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[32],204,23.4633
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[33],198,23.5039
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[34],199,23.5428
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[35],206,23.504
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[36],199,23.5141
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[37],199,23.4668
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[38],203,23.4578
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[39],202,23.4623
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[40],209,23.4788
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[41],199,23.5266
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[42],195,23.5161
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[43],209,23.5242
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[44],199,23.5218
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[45],203,23.5824
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[46],201,23.5521
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[47],207,23.5472
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[48],208,23.4631
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[49],207,23.5308
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[50],201,23.5098
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[51],205,23.5592
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[52],204,23.4695
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[53],196,23.5075
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[54],207,23.5165
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[55],205,23.5226
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[56],199,23.5367
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[57],204,23.5135
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[58],211,23.4991
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[59],207,23.5607
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[60],204,23.5074
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[61],205,23.5446
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[62],204,23.5272
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[63],202,23.4956
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[64],200,23.5401
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[65],206,23.5625
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[66],201,23.6217
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[67],203,23.4924
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[68],210,23.519
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[69],207,23.5555
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[70],205,23.5758
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[71],204,23.5114
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[72],200,23.521
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[73],197,23.4963
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[74],206,23.5583
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[75],197,23.5358
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[76],200,23.5615
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[77],203,23.4825
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[78],200,23.5178
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[79],209,23.5324
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[80],201,23.5077
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[81],198,23.5055
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[82],201,23.558
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[83],209,23.5432
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[84],198,23.5515
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[85],200,23.4998
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[86],205,23.4935
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[87],204,23.4849
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[88],205,23.5822
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[89],202,23.5494
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[90],194,23.513
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[91],205,23.4994
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[92],205,23.5008
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[93],199,23.5484
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[94],200,23.4873
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[95],202,23.5673
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[96],209,23.5432
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[97],209,23.4992
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[98],207,23.5238
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[99],198,23.5744
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[100],201,23.5213
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[101],203,23.4746
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[102],210,23.5643
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[103],204,23.51
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[104],215,23.4856
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[105],213,23.5569
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[106],202,23.5059
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[107],197,23.5022
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[108],193,23.4623
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[109],209,23.5343
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[110],198,23.4747
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[111],201,23.4965
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[112],198,23.5583
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[113],206,23.5493
no_crypt-Owner-400-0.sca,Owner-400-0-20110905-21:04:30-5013,UCACnet.owner[114],202,23.5149
