File,Run,Module,latency:stats:count,latency:stats:mean
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[0],372,7.67495
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[1],352,7.66005
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[2],350,7.66813
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[3],350,7.65009
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[4],359,7.67245
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[5],360,7.63961
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[6],358,7.67895
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[7],367,7.67423
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[8],352,7.7014
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[9],340,7.66398
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[10],351,7.67253
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[11],361,7.64194
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[12],360,7.61162
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[13],359,7.67336
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[14],351,7.6468
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[15],353,7.66765
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[16],351,7.62717
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[17],338,7.67244
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[18],337,7.64967
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[19],364,7.66381
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[20],351,7.6062
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[21],344,7.66617
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[22],358,7.63676
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[23],345,7.6606
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[24],345,7.62668
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[25],362,7.68894
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[26],364,7.66506
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[27],348,7.69542
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[28],346,7.64598
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[29],361,7.63216
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[30],357,7.6486
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[31],338,7.70371
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[32],378,7.68867
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[33],342,7.71338
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[34],342,7.65808
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[35],328,7.6886
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[36],354,7.69395
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[37],344,7.62854
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[38],361,7.63663
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[39],348,7.63237
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[40],368,7.62384
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[41],362,7.67702
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[42],337,7.65392
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[43],350,7.69066
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[44],353,7.61264
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[45],366,7.62769
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[46],345,7.66041
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[47],361,7.63072
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[48],358,7.68441
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[49],363,7.61047
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[50],338,7.64714
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[51],359,7.63707
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[52],349,7.62909
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[53],356,7.65338
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[54],354,7.67213
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[55],350,7.67151
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[56],357,7.66919
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[57],347,7.61751
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[58],342,7.65886
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[59],354,7.65047
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[60],351,7.62191
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[61],380,7.64481
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[62],375,7.64574
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[63],350,7.65602
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[64],362,7.65451
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[65],340,7.67176
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[66],341,7.64799
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[67],372,7.65822
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[68],351,7.65675
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[69],357,7.66426
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[70],362,7.68224
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[71],354,7.70388
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[72],352,7.66034
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[73],353,7.64637
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[74],353,7.66378
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[75],351,7.6725
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[76],351,7.64938
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[77],334,7.67596
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[78],359,7.65878
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[79],344,7.68486
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[80],349,7.68025
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[81],347,7.69057
no_crypt-Owner-200-0.sca,Owner-200-0-20110905-21:00:10-4989,UCACnet.owner[82],346,7.64329
