File,Run,Module,latency:stats:count,latency:stats:mean
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[0],337,6.62962
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[1],359,6.63198
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[2],330,6.63186
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[3],336,6.62862
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[4],342,6.63316
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[5],330,6.62876
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[6],348,6.63099
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[7],338,6.62972
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[8],350,6.63221
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[9],335,6.63104
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[10],356,6.62682
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[11],350,6.63138
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[12],334,6.62997
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[13],346,6.6324
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[14],358,6.62931
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[15],357,6.62787
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[16],327,6.63271
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[17],365,6.62944
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[18],343,6.63026
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[19],339,6.63104
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[20],363,6.63181
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[21],347,6.62832
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[22],355,6.62804
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[23],355,6.63003
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[24],337,6.62876
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[25],358,6.63063
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[26],353,6.63424
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[27],354,6.63027
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[28],345,6.63112
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[29],343,6.63091
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[30],321,6.63326
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[31],352,6.62918
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[32],363,6.62759
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[33],347,6.63081
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[34],356,6.63187
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[35],341,6.63175
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[36],339,6.62985
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[37],339,6.62952
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[38],336,6.62816
no_crypt-Owner-100-0.sca,Owner-100-0-20110905-20:59:52-4988,UCACnet.owner[39],344,6.6308
