"File","nocrypt-Owner-200-0.sca",
"Run","Owner-200-0-20110908-17:38:49-6080",
"Module","latency:stats:count","latency:stats:mean"
"UCACnet.owner[0]",207,7.71116
"UCACnet.owner[1]",191,7.72085
"UCACnet.owner[2]",193,7.70936
"UCACnet.owner[3]",211,7.72423
"UCACnet.owner[4]",202,7.69768
"UCACnet.owner[5]",189,7.72762
"UCACnet.owner[6]",202,7.72036
"UCACnet.owner[7]",202,7.77411
"UCACnet.owner[8]",206,7.70484
"UCACnet.owner[9]",192,7.69875
"UCACnet.owner[10]",194,7.73841
"UCACnet.owner[11]",208,7.70586
"UCACnet.owner[12]",193,7.70809
"UCACnet.owner[13]",193,7.69245
"UCACnet.owner[14]",190,7.70683
"UCACnet.owner[15]",205,7.68365
"UCACnet.owner[16]",198,7.77515
"UCACnet.owner[17]",211,7.67595
"UCACnet.owner[18]",190,7.73524
"UCACnet.owner[19]",193,7.80143
"UCACnet.owner[20]",198,7.69601
"UCACnet.owner[21]",197,7.68674
"UCACnet.owner[22]",183,7.78407
"UCACnet.owner[23]",200,7.71624
"UCACnet.owner[24]",186,7.79437
"UCACnet.owner[25]",197,7.71226
"UCACnet.owner[26]",210,7.71626
"UCACnet.owner[27]",211,7.69653
"UCACnet.owner[28]",205,7.7152
"UCACnet.owner[29]",188,7.73596
"UCACnet.owner[30]",203,7.69409
"UCACnet.owner[31]",195,7.73398
"UCACnet.owner[32]",201,7.72304
"UCACnet.owner[33]",203,7.75048
"UCACnet.owner[34]",197,7.72353
"UCACnet.owner[35]",197,7.74688
"UCACnet.owner[36]",200,7.73262
"UCACnet.owner[37]",199,7.67534
"UCACnet.owner[38]",207,7.73776
"UCACnet.owner[39]",191,7.72894
"UCACnet.owner[40]",193,7.74171
"UCACnet.owner[41]",207,7.72016
"UCACnet.owner[42]",189,7.67563
"UCACnet.owner[43]",183,7.70399
"UCACnet.owner[44]",204,7.7057
"UCACnet.owner[45]",193,7.71388
"UCACnet.owner[46]",199,7.73795
"UCACnet.owner[47]",196,7.68232
"UCACnet.owner[48]",198,7.7483
"UCACnet.owner[49]",206,7.75017
"UCACnet.owner[50]",196,7.72908
"UCACnet.owner[51]",197,7.71131
"UCACnet.owner[52]",196,7.75657
"UCACnet.owner[53]",196,7.72461
