"File","nocrypt-Owner-400-0.sca",
"Run","Owner-400-0-20110908-17:46:01-6141",
"Module","latency:stats:count","latency:stats:mean"
"UCACnet.owner[0]",198,23.5294
"UCACnet.owner[1]",205,23.5774
"UCACnet.owner[2]",209,23.5901
"UCACnet.owner[3]",211,23.5222
"UCACnet.owner[4]",200,23.5053
"UCACnet.owner[5]",202,23.4946
"UCACnet.owner[6]",199,23.5007
"UCACnet.owner[7]",197,23.5458
"UCACnet.owner[8]",208,23.5374
"UCACnet.owner[9]",202,23.5653
"UCACnet.owner[10]",197,23.544
"UCACnet.owner[11]",204,23.5328
"UCACnet.owner[12]",206,23.4837
"UCACnet.owner[13]",204,23.492
"UCACnet.owner[14]",195,23.5404
"UCACnet.owner[15]",207,23.4807
"UCACnet.owner[16]",199,23.4952
"UCACnet.owner[17]",202,23.5042
"UCACnet.owner[18]",192,23.4548
"UCACnet.owner[19]",202,23.5166
"UCACnet.owner[20]",205,23.5663
"UCACnet.owner[21]",200,23.5113
"UCACnet.owner[22]",208,23.4284
"UCACnet.owner[23]",198,23.4626
"UCACnet.owner[24]",207,23.5048
"UCACnet.owner[25]",208,23.4875
"UCACnet.owner[26]",206,23.5048
"UCACnet.owner[27]",198,23.5166
"UCACnet.owner[28]",195,23.4974
"UCACnet.owner[29]",206,23.4915
"UCACnet.owner[30]",206,23.473
"UCACnet.owner[31]",200,23.5386
"UCACnet.owner[32]",199,23.4661
"UCACnet.owner[33]",202,23.5192
"UCACnet.owner[34]",203,23.5248
"UCACnet.owner[35]",204,23.5316
"UCACnet.owner[36]",199,23.5627
"UCACnet.owner[37]",206,23.5108
"UCACnet.owner[38]",200,23.5655
"UCACnet.owner[39]",201,23.5163
"UCACnet.owner[40]",197,23.548
"UCACnet.owner[41]",207,23.5057
"UCACnet.owner[42]",206,23.5513
"UCACnet.owner[43]",204,23.5562
"UCACnet.owner[44]",205,23.4854
"UCACnet.owner[45]",207,23.5384
"UCACnet.owner[46]",204,23.4993
"UCACnet.owner[47]",206,23.5407
"UCACnet.owner[48]",208,23.4737
"UCACnet.owner[49]",202,23.5147
"UCACnet.owner[50]",204,23.5165
"UCACnet.owner[51]",211,23.5229
"UCACnet.owner[52]",209,23.5221
"UCACnet.owner[53]",202,23.4879
"UCACnet.owner[54]",208,23.4884
"UCACnet.owner[55]",204,23.5509
"UCACnet.owner[56]",203,23.5275
"UCACnet.owner[57]",206,23.4823
"UCACnet.owner[58]",203,23.5162
"UCACnet.owner[59]",205,23.461
"UCACnet.owner[60]",206,23.5394
"UCACnet.owner[61]",203,23.4804
"UCACnet.owner[62]",201,23.5141
"UCACnet.owner[63]",200,23.5593
"UCACnet.owner[64]",201,23.5167
"UCACnet.owner[65]",204,23.5046
"UCACnet.owner[66]",202,23.5372
"UCACnet.owner[67]",205,23.4706
"UCACnet.owner[68]",206,23.4553
"UCACnet.owner[69]",200,23.5098
"UCACnet.owner[70]",200,23.6003
"UCACnet.owner[71]",201,23.4826
"UCACnet.owner[72]",205,23.5138
"UCACnet.owner[73]",197,23.5042
"UCACnet.owner[74]",199,23.5562
"UCACnet.owner[75]",197,23.5545
"UCACnet.owner[76]",200,23.5049
"UCACnet.owner[77]",206,23.5
"UCACnet.owner[78]",202,23.497
"UCACnet.owner[79]",205,23.4874
"UCACnet.owner[80]",199,23.4659
"UCACnet.owner[81]",206,23.4768
"UCACnet.owner[82]",209,23.5213
"UCACnet.owner[83]",200,23.5146
"UCACnet.owner[84]",193,23.5335
"UCACnet.owner[85]",202,23.5408
"UCACnet.owner[86]",202,23.4285
"UCACnet.owner[87]",202,23.5189
"UCACnet.owner[88]",199,23.4571
"UCACnet.owner[89]",207,23.51
"UCACnet.owner[90]",208,23.5115
"UCACnet.owner[91]",200,23.4927
"UCACnet.owner[92]",203,23.5184
"UCACnet.owner[93]",205,23.5243
"UCACnet.owner[94]",202,23.5006
"UCACnet.owner[95]",208,23.4929
"UCACnet.owner[96]",205,23.5211
"UCACnet.owner[97]",201,23.5109
"UCACnet.owner[98]",206,23.5256
"UCACnet.owner[99]",203,23.5034
"UCACnet.owner[100]",210,23.5708
"UCACnet.owner[101]",203,23.4511
"UCACnet.owner[102]",202,23.574
"UCACnet.owner[103]",205,23.464
"UCACnet.owner[104]",201,23.5499
"UCACnet.owner[105]",198,23.4868
"UCACnet.owner[106]",205,23.4994
"UCACnet.owner[107]",201,23.5056
"UCACnet.owner[108]",200,23.4335
"UCACnet.owner[109]",200,23.4838
"UCACnet.owner[110]",203,23.4506
"UCACnet.owner[111]",194,23.5383
"UCACnet.owner[112]",204,23.5505
"UCACnet.owner[113]",206,23.4782
"UCACnet.owner[114]",204,23.4957
"UCACnet.owner[115]",203,23.5463
"UCACnet.owner[116]",206,23.4881
"UCACnet.owner[117]",196,23.5415
"UCACnet.owner[118]",197,23.5453
"UCACnet.owner[119]",202,23.5755
"UCACnet.owner[120]",196,23.4535
"UCACnet.owner[121]",207,23.5116
"UCACnet.owner[122]",200,23.4703
"UCACnet.owner[123]",209,23.5102
"UCACnet.owner[124]",198,23.5537
"UCACnet.owner[125]",202,23.5147
"UCACnet.owner[126]",199,23.464
"UCACnet.owner[127]",207,23.5114
"UCACnet.owner[128]",205,23.4487
"UCACnet.owner[129]",194,23.5794
"UCACnet.owner[130]",197,23.5222
"UCACnet.owner[131]",193,23.5109
"UCACnet.owner[132]",195,23.5318
"UCACnet.owner[133]",195,23.4608
"UCACnet.owner[134]",210,23.4744
"UCACnet.owner[135]",199,23.5449
"UCACnet.owner[136]",201,23.5363
"UCACnet.owner[137]",201,23.5529
"UCACnet.owner[138]",208,23.4321
"UCACnet.owner[139]",205,23.5092
"UCACnet.owner[140]",200,23.5224
"UCACnet.owner[141]",207,23.5309
"UCACnet.owner[142]",205,23.5181
"UCACnet.owner[143]",205,23.5095
"UCACnet.owner[144]",215,23.507
"UCACnet.owner[145]",207,23.449
"UCACnet.owner[146]",203,23.5405
"UCACnet.owner[147]",202,23.5064
"UCACnet.owner[148]",203,23.48
"UCACnet.owner[149]",204,23.4619
"UCACnet.owner[150]",208,23.4289
"UCACnet.owner[151]",206,23.5557
"UCACnet.owner[152]",200,23.5186
"UCACnet.owner[153]",201,23.5546
"UCACnet.owner[154]",198,23.4468
"UCACnet.owner[155]",201,23.5168
"UCACnet.owner[156]",199,23.5076
"UCACnet.owner[157]",209,23.4906
"UCACnet.owner[158]",208,23.4607
"UCACnet.owner[159]",203,23.5355
"UCACnet.owner[160]",209,23.4922
"UCACnet.owner[161]",207,23.5414
"UCACnet.owner[162]",200,23.5334
"UCACnet.owner[163]",202,23.5089
"UCACnet.owner[164]",212,23.511
"UCACnet.owner[165]",203,23.5106
"UCACnet.owner[166]",195,23.5147
"UCACnet.owner[167]",204,23.5221
"UCACnet.owner[168]",211,23.497
"UCACnet.owner[169]",206,23.5379
"UCACnet.owner[170]",211,23.463
"UCACnet.owner[171]",201,23.5082
"UCACnet.owner[172]",207,23.5684
"UCACnet.owner[173]",205,23.4577
"UCACnet.owner[174]",204,23.53
"UCACnet.owner[175]",199,23.4693
"UCACnet.owner[176]",207,23.5434
"UCACnet.owner[177]",206,23.4876
"UCACnet.owner[178]",195,23.5482
"UCACnet.owner[179]",209,23.497
"UCACnet.owner[180]",201,23.4841
"UCACnet.owner[181]",204,23.4823
"UCACnet.owner[182]",199,23.5087
"UCACnet.owner[183]",210,23.4493
"UCACnet.owner[184]",202,23.486
"UCACnet.owner[185]",207,23.4889
"UCACnet.owner[186]",206,23.5323
"UCACnet.owner[187]",210,23.4887
"UCACnet.owner[188]",203,23.5337
"UCACnet.owner[189]",200,23.4935
"UCACnet.owner[190]",209,23.5047
"UCACnet.owner[191]",206,23.5069
"UCACnet.owner[192]",205,23.5387
"UCACnet.owner[193]",209,23.4966
"UCACnet.owner[194]",201,23.4698
"UCACnet.owner[195]",204,23.4919
"UCACnet.owner[196]",203,23.4634
"UCACnet.owner[197]",209,23.5222
"UCACnet.owner[198]",203,23.4598
"UCACnet.owner[199]",206,23.4856
"UCACnet.owner[200]",205,23.5047
"UCACnet.owner[201]",202,23.528
"UCACnet.owner[202]",200,23.5192
"UCACnet.owner[203]",197,23.5586
"UCACnet.owner[204]",200,23.5134
"UCACnet.owner[205]",200,23.4935
"UCACnet.owner[206]",203,23.4992
"UCACnet.owner[207]",206,23.5629
"UCACnet.owner[208]",206,23.4829
"UCACnet.owner[209]",209,23.5264
"UCACnet.owner[210]",207,23.5197
"UCACnet.owner[211]",210,23.4853
"UCACnet.owner[212]",203,23.5042
"UCACnet.owner[213]",202,23.4934
"UCACnet.owner[214]",206,23.5223
"UCACnet.owner[215]",205,23.5043
"UCACnet.owner[216]",204,23.5264
"UCACnet.owner[217]",201,23.5243
"UCACnet.owner[218]",203,23.4918
"UCACnet.owner[219]",203,23.4714
"UCACnet.owner[220]",213,23.5036
"UCACnet.owner[221]",204,23.5258
"UCACnet.owner[222]",203,23.5166
"UCACnet.owner[223]",193,23.5032
"UCACnet.owner[224]",206,23.4869
"UCACnet.owner[225]",205,23.4932
"UCACnet.owner[226]",202,23.4765
"UCACnet.owner[227]",207,23.5222
"UCACnet.owner[228]",210,23.5046
"UCACnet.owner[229]",202,23.513
"UCACnet.owner[230]",210,23.5129
"UCACnet.owner[231]",206,23.5317
"UCACnet.owner[232]",199,23.4601
"UCACnet.owner[233]",200,23.5316
"UCACnet.owner[234]",206,23.5133
"UCACnet.owner[235]",201,23.5039
"UCACnet.owner[236]",203,23.4682
"UCACnet.owner[237]",203,23.4876
"UCACnet.owner[238]",208,23.4426
"UCACnet.owner[239]",203,23.493
"UCACnet.owner[240]",203,23.5365
"UCACnet.owner[241]",202,23.4903
"UCACnet.owner[242]",196,23.5549
"UCACnet.owner[243]",212,23.4983
"UCACnet.owner[244]",197,23.5246
"UCACnet.owner[245]",201,23.503
"UCACnet.owner[246]",205,23.5449
"UCACnet.owner[247]",200,23.5106
"UCACnet.owner[248]",202,23.5022
"UCACnet.owner[249]",206,23.481
"UCACnet.owner[250]",202,23.4703
"UCACnet.owner[251]",203,23.5147
"UCACnet.owner[252]",206,23.4301
"UCACnet.owner[253]",205,23.462
"UCACnet.owner[254]",203,23.4869
"UCACnet.owner[255]",205,23.5093
"UCACnet.owner[256]",205,23.5382
"UCACnet.owner[257]",202,23.5462
"UCACnet.owner[258]",200,23.4883
"UCACnet.owner[259]",201,23.5153
"UCACnet.owner[260]",202,23.4925
"UCACnet.owner[261]",204,23.4996
"UCACnet.owner[262]",201,23.5251
"UCACnet.owner[263]",204,23.5165
"UCACnet.owner[264]",210,23.4214
"UCACnet.owner[265]",208,23.4528
"UCACnet.owner[266]",201,23.4645
"UCACnet.owner[267]",205,23.453
"UCACnet.owner[268]",201,23.5522
"UCACnet.owner[269]",203,23.516
"UCACnet.owner[270]",199,23.5281
"UCACnet.owner[271]",202,23.5215
"UCACnet.owner[272]",204,23.5567
"UCACnet.owner[273]",204,23.4556
"UCACnet.owner[274]",202,23.5183
"UCACnet.owner[275]",205,23.5087
"UCACnet.owner[276]",197,23.5161
"UCACnet.owner[277]",206,23.5019
"UCACnet.owner[278]",196,23.5367
"UCACnet.owner[279]",205,23.5213
"UCACnet.owner[280]",204,23.4914
"UCACnet.owner[281]",203,23.4592
"UCACnet.owner[282]",203,23.5414
"UCACnet.owner[283]",199,23.4605
"UCACnet.owner[284]",205,23.481
"UCACnet.owner[285]",202,23.4529
"UCACnet.owner[286]",212,23.5195
"UCACnet.owner[287]",206,23.4689
"UCACnet.owner[288]",200,23.4688
"UCACnet.owner[289]",203,23.5352
"UCACnet.owner[290]",199,23.5395
"UCACnet.owner[291]",204,23.4983
"UCACnet.owner[292]",197,23.4555
"UCACnet.owner[293]",201,23.4443
"UCACnet.owner[294]",197,23.4905
"UCACnet.owner[295]",205,23.4769
"UCACnet.owner[296]",205,23.5863
"UCACnet.owner[297]",203,23.5183
"UCACnet.owner[298]",198,23.5936
"UCACnet.owner[299]",193,23.5221
"UCACnet.owner[300]",207,23.4855
"UCACnet.owner[301]",202,23.5246
"UCACnet.owner[302]",200,23.5385
"UCACnet.owner[303]",205,23.4453
"UCACnet.owner[304]",205,23.4898
"UCACnet.owner[305]",209,23.5047
"UCACnet.owner[306]",200,23.5274
"UCACnet.owner[307]",202,23.4804
"UCACnet.owner[308]",199,23.4772
"UCACnet.owner[309]",199,23.5362
"UCACnet.owner[310]",206,23.483
"UCACnet.owner[311]",201,23.4955
"UCACnet.owner[312]",207,23.4799
"UCACnet.owner[313]",207,23.5255
"UCACnet.owner[314]",200,23.5399
"UCACnet.owner[315]",205,23.5051
"UCACnet.owner[316]",206,23.4763
"UCACnet.owner[317]",208,23.3879
"UCACnet.owner[318]",203,23.5075
"UCACnet.owner[319]",204,23.5112
"UCACnet.owner[320]",204,23.4916
"UCACnet.owner[321]",197,23.4919
"UCACnet.owner[322]",200,23.5472
"UCACnet.owner[323]",199,23.5386
"UCACnet.owner[324]",202,23.5283
"UCACnet.owner[325]",207,23.4264
"UCACnet.owner[326]",206,23.4798
"UCACnet.owner[327]",200,23.5322
"UCACnet.owner[328]",206,23.51
"UCACnet.owner[329]",202,23.4478
"UCACnet.owner[330]",205,23.5389
"UCACnet.owner[331]",198,23.5012
"UCACnet.owner[332]",200,23.4938
"UCACnet.owner[333]",218,23.4826
"UCACnet.owner[334]",207,23.4987
"UCACnet.owner[335]",195,23.5052
"UCACnet.owner[336]",201,23.5414
"UCACnet.owner[337]",209,23.5875
"UCACnet.owner[338]",201,23.4568
"UCACnet.owner[339]",198,23.537
"UCACnet.owner[340]",207,23.4826
"UCACnet.owner[341]",206,23.5366
"UCACnet.owner[342]",208,23.434
"UCACnet.owner[343]",201,23.5046
"UCACnet.owner[344]",202,23.3986
"UCACnet.owner[345]",203,23.4399
"UCACnet.owner[346]",206,23.4128
"UCACnet.owner[347]",203,23.4768
"UCACnet.owner[348]",199,23.5208
"UCACnet.owner[349]",208,23.5347
"UCACnet.owner[350]",201,23.5642
"UCACnet.owner[351]",209,23.5076
"UCACnet.owner[352]",201,23.5293
"UCACnet.owner[353]",207,23.4335
"UCACnet.owner[354]",211,23.5517
"UCACnet.owner[355]",205,23.5497
"UCACnet.owner[356]",203,23.5225
"UCACnet.owner[357]",201,23.4545
"UCACnet.owner[358]",202,23.4365
"UCACnet.owner[359]",202,23.5495
"UCACnet.owner[360]",207,23.4629
"UCACnet.owner[361]",201,23.5132
"UCACnet.owner[362]",199,23.516
"UCACnet.owner[363]",205,23.4099
"UCACnet.owner[364]",205,23.5356
"UCACnet.owner[365]",206,23.5031
"UCACnet.owner[366]",201,23.4865
"UCACnet.owner[367]",193,23.5461
"UCACnet.owner[368]",207,23.4896
"UCACnet.owner[369]",197,23.4207
"UCACnet.owner[370]",197,23.5313
"UCACnet.owner[371]",196,23.5209
"UCACnet.owner[372]",207,23.5064
"UCACnet.owner[373]",207,23.5544
"UCACnet.owner[374]",202,23.5545
"UCACnet.owner[375]",210,23.499
"UCACnet.owner[376]",203,23.4876
"UCACnet.owner[377]",205,23.5119
"UCACnet.owner[378]",202,23.5186
"UCACnet.owner[379]",202,23.5955
"UCACnet.owner[380]",193,23.4635
"UCACnet.owner[381]",209,23.5086
"UCACnet.owner[382]",206,23.4845
"UCACnet.owner[383]",198,23.4872
"UCACnet.owner[384]",190,23.4498
"UCACnet.owner[385]",203,23.4819
"UCACnet.owner[386]",196,23.5152
"UCACnet.owner[387]",210,23.5216
"UCACnet.owner[388]",203,23.5075
"UCACnet.owner[389]",207,23.4925
"UCACnet.owner[390]",210,23.5063
"UCACnet.owner[391]",202,23.5312
"UCACnet.owner[392]",204,23.4751
"UCACnet.owner[393]",201,23.5948
"UCACnet.owner[394]",199,23.4501
"UCACnet.owner[395]",203,23.4133
"UCACnet.owner[396]",208,23.4922
"UCACnet.owner[397]",199,23.4425
"UCACnet.owner[398]",197,23.5014
"UCACnet.owner[399]",200,23.535
"Average",203.1025,23.50510075
