"File","nocrypt-Owner-600-0.sca",
"Run","Owner-600-0-20110908-17:16:34-5904",
"Module","latency:stats:count","latency:stats:mean"
"UCACnet.owner[0]",192,39.8792
"UCACnet.owner[1]",195,39.898
"UCACnet.owner[2]",191,39.8719
"UCACnet.owner[3]",192,39.8926
"UCACnet.owner[4]",196,39.8698
"UCACnet.owner[5]",191,39.8843
"UCACnet.owner[6]",195,39.8764
"UCACnet.owner[7]",191,39.8901
"UCACnet.owner[8]",194,39.8853
"UCACnet.owner[9]",195,39.8506
"UCACnet.owner[10]",190,39.8777
"UCACnet.owner[11]",195,39.8722
"UCACnet.owner[12]",186,39.841
"UCACnet.owner[13]",196,39.8714
"UCACnet.owner[14]",194,39.8579
"UCACnet.owner[15]",193,39.7315
"UCACnet.owner[16]",189,39.8478
"UCACnet.owner[17]",195,39.8259
"UCACnet.owner[18]",194,39.8177
"UCACnet.owner[19]",189,39.8679
"UCACnet.owner[20]",199,39.8294
"UCACnet.owner[21]",194,39.8766
"UCACnet.owner[22]",196,39.85
"UCACnet.owner[23]",185,39.863
"UCACnet.owner[24]",190,39.8602
"UCACnet.owner[25]",189,39.8597
"UCACnet.owner[26]",194,39.8782
"UCACnet.owner[27]",194,39.866
"UCACnet.owner[28]",195,39.7721
"UCACnet.owner[29]",196,39.8325
"UCACnet.owner[30]",197,39.7434
"UCACnet.owner[31]",192,39.8514
"UCACnet.owner[32]",192,39.7497
"UCACnet.owner[33]",193,39.8408
"UCACnet.owner[34]",191,39.844
"UCACnet.owner[35]",196,39.8279
"UCACnet.owner[36]",190,39.8568
"UCACnet.owner[37]",197,39.82
"UCACnet.owner[38]",196,39.8688
"UCACnet.owner[39]",189,39.8791
"UCACnet.owner[40]",192,39.853
"UCACnet.owner[41]",195,39.8463
"UCACnet.owner[42]",194,39.8821
"UCACnet.owner[43]",195,39.8752
"UCACnet.owner[44]",195,39.8301
"UCACnet.owner[45]",193,39.8476
"UCACnet.owner[46]",196,39.884
"UCACnet.owner[47]",198,39.8809
"UCACnet.owner[48]",195,39.8189
"UCACnet.owner[49]",196,39.8707
"UCACnet.owner[50]",193,39.8639
"UCACnet.owner[51]",195,39.8484
"UCACnet.owner[52]",195,39.7911
"UCACnet.owner[53]",193,39.8123
"UCACnet.owner[54]",194,39.8608
"UCACnet.owner[55]",195,39.8897
"UCACnet.owner[56]",190,39.8515
"UCACnet.owner[57]",197,39.8365
"UCACnet.owner[58]",192,39.8573
"UCACnet.owner[59]",192,39.8595
"UCACnet.owner[60]",193,39.8138
