"File","nocrypt-Owner-100-0.sca",
"Run","Owner-100-0-20110908-17:41:33-6102",
"Module","latency:stats:count","latency:stats:mean"
"UCACnet.owner[0]",200,6.76865
"UCACnet.owner[1]",190,6.76777
"UCACnet.owner[2]",201,6.76775
"UCACnet.owner[3]",193,6.76636
"UCACnet.owner[4]",201,6.7681
"UCACnet.owner[5]",192,6.77061
"UCACnet.owner[6]",198,6.77108
"UCACnet.owner[7]",202,6.77126
"UCACnet.owner[8]",177,6.7713
"UCACnet.owner[9]",188,6.7704
"UCACnet.owner[10]",200,6.76846
"UCACnet.owner[11]",189,6.7724
"UCACnet.owner[12]",193,6.76791
"UCACnet.owner[13]",191,6.7693
"UCACnet.owner[14]",192,6.76888
"UCACnet.owner[15]",186,6.77031
"UCACnet.owner[16]",187,6.77085
"UCACnet.owner[17]",202,6.76635
"UCACnet.owner[18]",198,6.77244
"UCACnet.owner[19]",199,6.76958
"UCACnet.owner[20]",196,6.7708
"UCACnet.owner[21]",193,6.7702
"UCACnet.owner[22]",184,6.77141
"UCACnet.owner[23]",191,6.76648
"UCACnet.owner[24]",194,6.77137
"UCACnet.owner[25]",208,6.77037
"UCACnet.owner[26]",194,6.77184
"UCACnet.owner[27]",181,6.77185
"UCACnet.owner[28]",190,6.76982
"UCACnet.owner[29]",188,6.76895
"UCACnet.owner[30]",177,6.76897
"UCACnet.owner[31]",194,6.7675
"UCACnet.owner[32]",204,6.77594
"UCACnet.owner[33]",195,6.76827
"UCACnet.owner[34]",200,6.76843
"UCACnet.owner[35]",186,6.77005
"UCACnet.owner[36]",202,6.76633
"UCACnet.owner[37]",177,6.77392
"UCACnet.owner[38]",194,6.7723
"UCACnet.owner[39]",190,6.7696
"UCACnet.owner[40]",197,6.76796
"UCACnet.owner[41]",199,6.77041
"UCACnet.owner[42]",170,6.77093
"UCACnet.owner[43]",198,6.76762
"UCACnet.owner[44]",205,6.77077
"UCACnet.owner[45]",186,6.76904
"UCACnet.owner[46]",196,6.76796
"UCACnet.owner[47]",195,6.76998
"UCACnet.owner[48]",210,6.76837
"UCACnet.owner[49]",208,6.76817
"UCACnet.owner[50]",190,6.76896
"UCACnet.owner[51]",174,6.76664
"UCACnet.owner[52]",199,6.77033
"UCACnet.owner[53]",196,6.77595
"UCACnet.owner[54]",193,6.77487
"UCACnet.owner[55]",187,6.77316
"UCACnet.owner[56]",201,6.77489
"UCACnet.owner[57]",195,6.76935
"UCACnet.owner[58]",195,6.76907
"UCACnet.owner[59]",171,6.77145
"UCACnet.owner[60]",207,6.77381
"UCACnet.owner[61]",199,6.76761
"UCACnet.owner[62]",206,6.76872
"UCACnet.owner[63]",184,6.76759
"UCACnet.owner[64]",193,6.76832
"UCACnet.owner[65]",208,6.7678
"UCACnet.owner[66]",182,6.77039
"UCACnet.owner[67]",196,6.77167
"UCACnet.owner[68]",180,6.77086
"UCACnet.owner[69]",196,6.7704
"UCACnet.owner[70]",192,6.7681
"UCACnet.owner[71]",189,6.76957
"UCACnet.owner[72]",202,6.77053
"UCACnet.owner[73]",180,6.76901
"UCACnet.owner[74]",198,6.77297
"UCACnet.owner[75]",209,6.76856
"UCACnet.owner[76]",195,6.76699
"UCACnet.owner[77]",197,6.76761
"UCACnet.owner[78]",215,6.77036
"UCACnet.owner[79]",196,6.7689
"UCACnet.owner[80]",198,6.76735
"UCACnet.owner[81]",196,6.7697
"UCACnet.owner[82]",186,6.77582
"UCACnet.owner[83]",184,6.76952
"UCACnet.owner[84]",203,6.77362
"UCACnet.owner[85]",191,6.76705
"UCACnet.owner[86]",196,6.76821
"UCACnet.owner[87]",205,6.76908
"UCACnet.owner[88]",206,6.76855
"UCACnet.owner[89]",186,6.76784
"UCACnet.owner[90]",200,6.77211
"UCACnet.owner[91]",195,6.77481
"UCACnet.owner[92]",195,6.76889
"UCACnet.owner[93]",195,6.77037
"UCACnet.owner[94]",185,6.77119
"UCACnet.owner[95]",195,6.76652
"UCACnet.owner[96]",176,6.7683
"UCACnet.owner[97]",181,6.76952
"UCACnet.owner[98]",190,6.76856
"UCACnet.owner[99]",195,6.77187
"Average",193.64,6.7698869
