"File","nocrypt-Owner-500-0.sca",
"Run","Owner-500-0-20110908-17:23:29-5969",
"Module","latency:stats:count","latency:stats:mean"
"UCACnet.owner[0]",209,31.6519
"UCACnet.owner[1]",204,31.7142
"UCACnet.owner[2]",208,31.681
"UCACnet.owner[3]",208,31.6858
"UCACnet.owner[4]",202,31.7219
"UCACnet.owner[5]",210,31.7138
"UCACnet.owner[6]",210,31.6819
"UCACnet.owner[7]",212,31.6871
"UCACnet.owner[8]",209,31.7116
"UCACnet.owner[9]",211,31.7146
"UCACnet.owner[10]",212,31.6664
"UCACnet.owner[11]",204,31.695
"UCACnet.owner[12]",210,31.6881
"UCACnet.owner[13]",208,31.6848
"UCACnet.owner[14]",215,31.677
"UCACnet.owner[15]",211,31.6382
"UCACnet.owner[16]",211,31.6808
"UCACnet.owner[17]",206,31.6436
"UCACnet.owner[18]",206,31.6619
"UCACnet.owner[19]",206,31.6555
"UCACnet.owner[20]",215,31.6922
"UCACnet.owner[21]",206,31.7227
"UCACnet.owner[22]",210,31.7121
"UCACnet.owner[23]",218,31.669
"UCACnet.owner[24]",205,31.7157
"UCACnet.owner[25]",206,31.7217
"UCACnet.owner[26]",210,31.7141
"UCACnet.owner[27]",211,31.6646
"UCACnet.owner[28]",211,31.5989
"UCACnet.owner[29]",206,31.6395
"UCACnet.owner[30]",212,31.6454
"UCACnet.owner[31]",211,31.6822
"UCACnet.owner[32]",210,31.5811
"UCACnet.owner[33]",214,31.6999
"UCACnet.owner[34]",205,31.7118
"UCACnet.owner[35]",209,31.6794
"UCACnet.owner[36]",210,31.7039
"UCACnet.owner[37]",208,31.6155
"UCACnet.owner[38]",209,31.7259
"UCACnet.owner[39]",206,31.7106
"UCACnet.owner[40]",211,31.6778
"UCACnet.owner[41]",211,31.702
"UCACnet.owner[42]",209,31.7201
"UCACnet.owner[43]",202,31.7136
"UCACnet.owner[44]",209,31.703
"UCACnet.owner[45]",210,31.704
"UCACnet.owner[46]",208,31.6856
"UCACnet.owner[47]",203,31.6826
"UCACnet.owner[48]",205,31.6517
"UCACnet.owner[49]",205,31.6956
"UCACnet.owner[50]",212,31.6825
"UCACnet.owner[51]",208,31.6786
"UCACnet.owner[52]",211,31.6783
"UCACnet.owner[53]",213,31.6783
"UCACnet.owner[54]",206,31.692
"UCACnet.owner[55]",212,31.6569
"UCACnet.owner[56]",214,31.6427
"UCACnet.owner[57]",213,31.6295
"UCACnet.owner[58]",207,31.6846
"UCACnet.owner[59]",209,31.685
"UCACnet.owner[60]",210,31.6347
"UCACnet.owner[61]",205,31.6163
"UCACnet.owner[62]",214,31.6881
"UCACnet.owner[63]",208,31.6935
"UCACnet.owner[64]",213,31.6866
"UCACnet.owner[65]",206,31.5948
"UCACnet.owner[66]",211,31.6934
"UCACnet.owner[67]",212,31.635
"UCACnet.owner[68]",213,31.6043
"UCACnet.owner[69]",212,31.6705
"UCACnet.owner[70]",206,31.7505
"UCACnet.owner[71]",217,31.6586
"UCACnet.owner[72]",208,31.7261
"UCACnet.owner[73]",209,31.6789
"UCACnet.owner[74]",216,31.6795
"UCACnet.owner[75]",212,31.6721
"UCACnet.owner[76]",205,31.6661
"UCACnet.owner[77]",207,31.6755
"UCACnet.owner[78]",212,31.7064
"UCACnet.owner[79]",208,31.6778
"UCACnet.owner[80]",210,31.6841
"UCACnet.owner[81]",216,31.6394
"UCACnet.owner[82]",212,31.6762
"UCACnet.owner[83]",205,31.6348
"UCACnet.owner[84]",205,31.7164
"UCACnet.owner[85]",205,31.6626
"UCACnet.owner[86]",209,31.6041
"UCACnet.owner[87]",205,31.6246
"UCACnet.owner[88]",210,31.6323
"UCACnet.owner[89]",207,31.7243
"UCACnet.owner[90]",209,31.7115
"UCACnet.owner[91]",208,31.6744
"UCACnet.owner[92]",210,31.6785
"UCACnet.owner[93]",200,31.7167
"UCACnet.owner[94]",210,31.6327
"UCACnet.owner[95]",208,31.7251
"UCACnet.owner[96]",206,31.686
"UCACnet.owner[97]",212,31.6788
"UCACnet.owner[98]",214,31.6689
"UCACnet.owner[99]",209,31.6961
"UCACnet.owner[100]",215,31.6889
"UCACnet.owner[101]",209,31.6107
"UCACnet.owner[102]",211,31.7021
"UCACnet.owner[103]",212,31.6682
"UCACnet.owner[104]",202,31.6819
"UCACnet.owner[105]",208,31.7048
"UCACnet.owner[106]",205,31.5782
"UCACnet.owner[107]",204,31.713
"UCACnet.owner[108]",202,31.6919
"UCACnet.owner[109]",211,31.7012
"UCACnet.owner[110]",210,31.6471
"UCACnet.owner[111]",206,31.6774
"UCACnet.owner[112]",208,31.689
"UCACnet.owner[113]",208,31.659
"UCACnet.owner[114]",208,31.6508
"UCACnet.owner[115]",206,31.6941
"UCACnet.owner[116]",209,31.6613
"UCACnet.owner[117]",215,31.6483
"UCACnet.owner[118]",204,31.6701
"UCACnet.owner[119]",206,31.7057
"UCACnet.owner[120]",213,31.6595
"UCACnet.owner[121]",208,31.6869
"UCACnet.owner[122]",209,31.6478
"UCACnet.owner[123]",204,31.701
"UCACnet.owner[124]",210,31.6904
"UCACnet.owner[125]",211,31.6246
"UCACnet.owner[126]",206,31.6717
"UCACnet.owner[127]",206,31.6743
"UCACnet.owner[128]",207,31.6136
"UCACnet.owner[129]",209,31.6437
"UCACnet.owner[130]",207,31.7059
"UCACnet.owner[131]",210,31.7178
"UCACnet.owner[132]",213,31.6948
"UCACnet.owner[133]",208,31.6106
"UCACnet.owner[134]",205,31.6487
"UCACnet.owner[135]",206,31.7115
"UCACnet.owner[136]",211,31.7002
"UCACnet.owner[137]",211,31.678
"UCACnet.owner[138]",206,31.6153
"UCACnet.owner[139]",208,31.7365
"UCACnet.owner[140]",204,31.6702
"UCACnet.owner[141]",205,31.6993
"UCACnet.owner[142]",205,31.678
