"File","nocrypt-Owner-700-0.sca",
"Run","Owner-700-0-20110908-17:09:50-5877",
"Module","latency:stats:count","latency:stats:mean"
"UCACnet.owner[0]",199,48.0143
"UCACnet.owner[1]",197,48.0274
"UCACnet.owner[2]",197,48.0355
"UCACnet.owner[3]",198,47.9897
"UCACnet.owner[4]",197,48.0439
"UCACnet.owner[5]",199,48.0354
"UCACnet.owner[6]",197,48.0133
"UCACnet.owner[7]",197,48.0293
"UCACnet.owner[8]",199,48.0072
"UCACnet.owner[9]",202,48.0252
"UCACnet.owner[10]",200,48.0346
"UCACnet.owner[11]",196,48.0208
"UCACnet.owner[12]",200,47.9935
"UCACnet.owner[13]",197,48.034
"UCACnet.owner[14]",203,48.0403
"UCACnet.owner[15]",202,47.9351
"UCACnet.owner[16]",195,48.0557
"UCACnet.owner[17]",196,48.0116
"UCACnet.owner[18]",191,48.0232
"UCACnet.owner[19]",197,48.0299
"UCACnet.owner[20]",197,48.0394
"UCACnet.owner[21]",197,48.0112
"UCACnet.owner[22]",201,47.9844
"UCACnet.owner[23]",199,47.9988
"UCACnet.owner[24]",197,48.0576
"UCACnet.owner[25]",202,48.0479
"UCACnet.owner[26]",200,48.0183
"UCACnet.owner[27]",200,48.0729
"UCACnet.owner[28]",197,47.9628
"UCACnet.owner[29]",196,48.0231
"UCACnet.owner[30]",197,47.9318
"UCACnet.owner[31]",198,48.0526
"UCACnet.owner[32]",196,47.8552
"UCACnet.owner[33]",199,48.0106
"UCACnet.owner[34]",198,48.0453
"UCACnet.owner[35]",202,48.0522
"UCACnet.owner[36]",198,48.0211
"UCACnet.owner[37]",198,47.9546
"UCACnet.owner[38]",198,48.0659
"UCACnet.owner[39]",196,48.0026
"UCACnet.owner[40]",200,47.9493
"UCACnet.owner[41]",201,48.0049
"UCACnet.owner[42]",200,48.0505
"UCACnet.owner[43]",203,48.029
"UCACnet.owner[44]",197,47.9837
"UCACnet.owner[45]",201,48.0435
"UCACnet.owner[46]",196,48.0335
"UCACnet.owner[47]",201,48.0439
"UCACnet.owner[48]",199,47.988
"UCACnet.owner[49]",194,48.0458
"UCACnet.owner[50]",201,48.0528
"UCACnet.owner[51]",199,48.0365
"UCACnet.owner[52]",199,47.9888
"UCACnet.owner[53]",203,48.0618
"UCACnet.owner[54]",197,48.057
"UCACnet.owner[55]",199,48.0448
"UCACnet.owner[56]",202,48.107
"UCACnet.owner[57]",198,47.9558
"UCACnet.owner[58]",198,47.9759
"UCACnet.owner[59]",200,48.0358
"UCACnet.owner[60]",200,48.0167
"UCACnet.owner[61]",201,47.949
"UCACnet.owner[62]",201,48.0023
"UCACnet.owner[63]",198,48.0488
"UCACnet.owner[64]",198,48.0904
"UCACnet.owner[65]",204,47.995
"UCACnet.owner[66]",197,48.031
"UCACnet.owner[67]",203,47.9348
"UCACnet.owner[68]",198,47.9068
"UCACnet.owner[69]",200,48.0141
"UCACnet.owner[70]",196,48.0665
"UCACnet.owner[71]",202,47.9551
"UCACnet.owner[72]",200,48.039
"UCACnet.owner[73]",199,48.0028
"UCACnet.owner[74]",195,48.0383
"UCACnet.owner[75]",196,48.0346
"UCACnet.owner[76]",195,48.0056
"UCACnet.owner[77]",198,47.9723
"UCACnet.owner[78]",198,48.035
"UCACnet.owner[79]",200,48.0113
"UCACnet.owner[80]",199,48.0155
"UCACnet.owner[81]",198,47.9965
"UCACnet.owner[82]",203,47.9968
"UCACnet.owner[83]",196,48.0723
"UCACnet.owner[84]",198,48.0604
"UCACnet.owner[85]",202,47.9318
"UCACnet.owner[86]",202,47.9197
"UCACnet.owner[87]",197,47.9814
"UCACnet.owner[88]",195,47.9939
"UCACnet.owner[89]",198,48.0426
"UCACnet.owner[90]",198,48.012
"UCACnet.owner[91]",200,47.9435
"UCACnet.owner[92]",197,47.9893
"UCACnet.owner[93]",202,47.9747
"UCACnet.owner[94]",200,47.9329
"UCACnet.owner[95]",198,48.0391
"UCACnet.owner[96]",204,47.9988
"UCACnet.owner[97]",198,48.1049
"UCACnet.owner[98]",198,48.0792
"UCACnet.owner[99]",196,47.9719
"UCACnet.owner[100]",200,48.0525
"UCACnet.owner[101]",203,47.9175
"UCACnet.owner[102]",200,48.0155
"UCACnet.owner[103]",199,47.9962
"UCACnet.owner[104]",199,48.0569
"UCACnet.owner[105]",196,48.0067
"UCACnet.owner[106]",199,47.9721
"UCACnet.owner[107]",196,48.0437
"UCACnet.owner[108]",199,47.9878
"UCACnet.owner[109]",198,48.0868
"UCACnet.owner[110]",197,47.9672
"UCACnet.owner[111]",199,48.0243
"UCACnet.owner[112]",199,48.0363
"UCACnet.owner[113]",196,48.016
"UCACnet.owner[114]",199,47.9999
"UCACnet.owner[115]",195,48.0916
"UCACnet.owner[116]",204,48.06
"UCACnet.owner[117]",203,48.0267
"UCACnet.owner[118]",196,47.9898
"UCACnet.owner[119]",195,48.0052
"UCACnet.owner[120]",200,47.9095
"UCACnet.owner[121]",201,47.969
"UCACnet.owner[122]",199,47.9463
"UCACnet.owner[123]",196,48.0331
"UCACnet.owner[124]",199,48.0647
"UCACnet.owner[125]",198,48.0183
"UCACnet.owner[126]",199,48.0008
"UCACnet.owner[127]",201,48.0203
"UCACnet.owner[128]",201,47.9781
"UCACnet.owner[129]",196,48.0089
"UCACnet.owner[130]",197,48.011
"UCACnet.owner[131]",199,48.0736
"UCACnet.owner[132]",199,48.0828
"UCACnet.owner[133]",198,47.8965
"UCACnet.owner[134]",201,47.9506
"UCACnet.owner[135]",200,48.0463
"UCACnet.owner[136]",194,48.0149
"UCACnet.owner[137]",200,48.0351
"UCACnet.owner[138]",200,47.951
"UCACnet.owner[139]",194,48.0152
"UCACnet.owner[140]",197,48.0153
"UCACnet.owner[141]",199,48.0404
"UCACnet.owner[142]",198,48.004
"UCACnet.owner[143]",199,48.0296
"UCACnet.owner[144]",198,48.0319
"UCACnet.owner[145]",203,47.9198
"UCACnet.owner[146]",199,48.0483
"UCACnet.owner[147]",198,48.0235
"UCACnet.owner[148]",199,47.9918
"UCACnet.owner[149]",196,47.895
"UCACnet.owner[150]",200,47.9059
"UCACnet.owner[151]",201,47.9736
"UCACnet.owner[152]",199,48.0019
"UCACnet.owner[153]",201,48.01
"UCACnet.owner[154]",199,47.9409
"UCACnet.owner[155]",203,48.0075
"UCACnet.owner[156]",198,48.0293
"UCACnet.owner[157]",201,48.0535
"UCACnet.owner[158]",199,47.9499
"UCACnet.owner[159]",203,48.0722
"UCACnet.owner[160]",198,48.0154
"UCACnet.owner[161]",197,48.04
"UCACnet.owner[162]",203,47.96
"UCACnet.owner[163]",200,48.0643
"UCACnet.owner[164]",200,47.9644
"UCACnet.owner[165]",202,47.9922
"UCACnet.owner[166]",203,48.0211
"UCACnet.owner[167]",200,48.0213
"UCACnet.owner[168]",199,48.0545
"UCACnet.owner[169]",194,48.0573
"UCACnet.owner[170]",195,48.0054
"UCACnet.owner[171]",202,48.0313
"UCACnet.owner[172]",198,48.003
"UCACnet.owner[173]",197,48.0605
"UCACnet.owner[174]",203,47.9529
"UCACnet.owner[175]",203,48.0514
"UCACnet.owner[176]",196,48.099
"UCACnet.owner[177]",199,47.9271
"UCACnet.owner[178]",200,48.038
"UCACnet.owner[179]",203,48.0195
"UCACnet.owner[180]",199,48.027
"UCACnet.owner[181]",198,47.8719
"UCACnet.owner[182]",204,48.0594
"UCACnet.owner[183]",198,48.0766
"UCACnet.owner[184]",198,47.9614
"UCACnet.owner[185]",199,48.0329
"UCACnet.owner[186]",200,48.0077
"UCACnet.owner[187]",197,48.0424
"UCACnet.owner[188]",198,48.0562
"UCACnet.owner[189]",203,47.9425
"UCACnet.owner[190]",199,47.9416
"UCACnet.owner[191]",203,47.9934
"UCACnet.owner[192]",200,47.989
"UCACnet.owner[193]",200,48.018
"UCACnet.owner[194]",197,47.8978
"UCACnet.owner[195]",201,47.9894
"UCACnet.owner[196]",203,48.0349
"UCACnet.owner[197]",201,48.0011
"UCACnet.owner[198]",202,47.8704
"UCACnet.owner[199]",199,47.998
"UCACnet.owner[200]",199,48.0587
"UCACnet.owner[201]",203,48.0041
"UCACnet.owner[202]",197,48.0329
"UCACnet.owner[203]",200,48.08
"UCACnet.owner[204]",196,48.0458
"UCACnet.owner[205]",201,48.0013
"UCACnet.owner[206]",198,47.9824
"UCACnet.owner[207]",202,48.0116
"UCACnet.owner[208]",192,47.999
"UCACnet.owner[209]",197,48.0436
"UCACnet.owner[210]",201,48.0511
"UCACnet.owner[211]",195,48.0407
"UCACnet.owner[212]",200,48.0713
"UCACnet.owner[213]",196,48.0424
"UCACnet.owner[214]",200,48.0047
"UCACnet.owner[215]",196,48.036
"UCACnet.owner[216]",197,48.0109
"UCACnet.owner[217]",200,47.9847
"UCACnet.owner[218]",197,48.0471
"UCACnet.owner[219]",198,48.0557
"UCACnet.owner[220]",193,47.9922
"UCACnet.owner[221]",199,48.0226
"UCACnet.owner[222]",198,48.0251
"UCACnet.owner[223]",200,48.0217
"UCACnet.owner[224]",198,48.0589
"UCACnet.owner[225]",199,47.9097
"UCACnet.owner[226]",199,48.0283
"UCACnet.owner[227]",200,48.0488
"UCACnet.owner[228]",197,48.0824
"UCACnet.owner[229]",199,48.0217
"UCACnet.owner[230]",200,48.0337
"UCACnet.owner[231]",199,48.0245
"UCACnet.owner[232]",204,48.0232
"UCACnet.owner[233]",201,48.0388
"UCACnet.owner[234]",198,48.0384
"UCACnet.owner[235]",197,48.0142
"UCACnet.owner[236]",195,48.0739
"UCACnet.owner[237]",199,48.0083
"UCACnet.owner[238]",198,48.0259
"UCACnet.owner[239]",198,48.0594
"UCACnet.owner[240]",197,48.0252
"UCACnet.owner[241]",200,48.0434
"UCACnet.owner[242]",195,48.0187
"UCACnet.owner[243]",196,48.0336
"UCACnet.owner[244]",199,48.0252
"UCACnet.owner[245]",201,47.9883
"UCACnet.owner[246]",201,48.0709
"UCACnet.owner[247]",200,47.9962
"UCACnet.owner[248]",197,48.0308
"UCACnet.owner[249]",195,48.0391
"UCACnet.owner[250]",200,48.0593
"UCACnet.owner[251]",196,48.0653
"UCACnet.owner[252]",198,47.8932
"UCACnet.owner[253]",200,48.0171
"UCACnet.owner[254]",197,48.0142
"UCACnet.owner[255]",200,47.9963
"UCACnet.owner[256]",196,48
"UCACnet.owner[257]",196,48.0071
"UCACnet.owner[258]",202,47.9918
"UCACnet.owner[259]",199,48.0209
"UCACnet.owner[260]",203,48.0257
"UCACnet.owner[261]",199,48.0726
"UCACnet.owner[262]",196,47.9809
"UCACnet.owner[263]",200,48.0295
"UCACnet.owner[264]",206,48.0013
"UCACnet.owner[265]",198,47.9817
"UCACnet.owner[266]",199,48.0158
"UCACnet.owner[267]",201,47.9293
"UCACnet.owner[268]",200,48.0547
"UCACnet.owner[269]",201,48.0363
"UCACnet.owner[270]",199,48.0397
"UCACnet.owner[271]",199,48.0722
"UCACnet.owner[272]",197,48.0228
"UCACnet.owner[273]",203,47.9226
"UCACnet.owner[274]",199,48.0422
"UCACnet.owner[275]",196,48.0312
"UCACnet.owner[276]",201,48.0559
"UCACnet.owner[277]",198,48.0103
"UCACnet.owner[278]",196,48.0497
"UCACnet.owner[279]",204,48.0186
"UCACnet.owner[280]",202,48.0574
"UCACnet.owner[281]",199,47.9451
"UCACnet.owner[282]",198,48.057
"UCACnet.owner[283]",202,47.9704
"UCACnet.owner[284]",204,48.0466
"UCACnet.owner[285]",199,47.9984
"UCACnet.owner[286]",196,48.0081
"UCACnet.owner[287]",203,47.958
"UCACnet.owner[288]",197,48.0654
"UCACnet.owner[289]",202,47.9977
"UCACnet.owner[290]",201,48.0534
"UCACnet.owner[291]",198,48.0137
"UCACnet.owner[292]",196,47.9713
"UCACnet.owner[293]",206,47.9366
"UCACnet.owner[294]",201,48.0658
"UCACnet.owner[295]",199,48.0272
"UCACnet.owner[296]",199,48.0586
"UCACnet.owner[297]",199,48.0807
"UCACnet.owner[298]",198,48.0081
"UCACnet.owner[299]",197,48.0427
"UCACnet.owner[300]",200,47.9506
"UCACnet.owner[301]",197,48.0501
"UCACnet.owner[302]",200,48.0235
"UCACnet.owner[303]",201,47.9102
"UCACnet.owner[304]",198,48.0164
"UCACnet.owner[305]",201,48.0203
"UCACnet.owner[306]",202,47.9931
"UCACnet.owner[307]",198,48.0161
"UCACnet.owner[308]",196,47.9582
"UCACnet.owner[309]",197,48.0653
"UCACnet.owner[310]",201,48.0227
"UCACnet.owner[311]",199,48.0739
"UCACnet.owner[312]",200,48.0452
"UCACnet.owner[313]",200,47.9794
"UCACnet.owner[314]",198,48.0078
"UCACnet.owner[315]",199,47.9705
"UCACnet.owner[316]",197,48.0052
"UCACnet.owner[317]",204,47.9186
"UCACnet.owner[318]",199,47.9143
"UCACnet.owner[319]",193,47.9952
"UCACnet.owner[320]",199,48.0658
"UCACnet.owner[321]",193,47.9861
"UCACnet.owner[322]",201,48.0547
"UCACnet.owner[323]",199,48.0044
"UCACnet.owner[324]",197,48.0691
"UCACnet.owner[325]",195,47.9215
"UCACnet.owner[326]",197,48.0303
"UCACnet.owner[327]",198,48.0135
"UCACnet.owner[328]",200,48.0132
"UCACnet.owner[329]",198,47.8934
"UCACnet.owner[330]",198,48.0496
"UCACnet.owner[331]",199,47.9925
"UCACnet.owner[332]",203,47.8778
"UCACnet.owner[333]",195,48.0951
"UCACnet.owner[334]",196,48.0867
"UCACnet.owner[335]",200,48.0137
"UCACnet.owner[336]",200,48.0472
"UCACnet.owner[337]",196,48.0259
"UCACnet.owner[338]",201,47.9212
"UCACnet.owner[339]",201,47.9934
"UCACnet.owner[340]",198,48.0497
"UCACnet.owner[341]",203,48.0631
